Date : 2020-04-11 10:52:48
Directory : /Users/bmixo/Desktop/dart/download
Total : 53 files,  4354 codes, 192 comments, 445 blanks, all 4991 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                      |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                  |         13 |      3,352 |        160 |        293 |      3,805 |
| lib/portfolio                                                                                        |          4 |      1,112 |         15 |         75 |      1,202 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                             | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/bmixo/Desktop/dart/download/.gitattributes                                                    | Properties   |          1 |          1 |          1 |          3 |
| /Users/bmixo/Desktop/dart/download/README.md                                                         | Markdown     |         65 |          0 |         23 |         88 |
| /Users/bmixo/Desktop/dart/download/android/app/build.gradle                                          | Groovy       |         59 |          0 |         10 |         69 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/AndroidManifest.xml                          | XML          |         26 |         13 |          3 |         42 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/java/com/trentpiercy/trace/MainActivity.java | Java         |         12 |          0 |          4 |         16 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/res/drawable/icon_launcher.xml               | XML          |          9 |          0 |          0 |          9 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/res/drawable/icon_new_transaction.xml        | XML          |          9 |          0 |          1 |         10 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/res/drawable/icon_search.xml                 | XML          |          9 |          0 |          0 |          9 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/res/drawable/launch_background.xml           | XML          |          7 |          0 |          1 |          8 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/res/drawable/splash_icon.xml                 | XML          |          9 |          0 |          0 |          9 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/res/mipmap-anydpi/ic_launcher.xml            | XML          |          4 |          0 |          0 |          4 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/res/values/colors.xml                        | XML          |          4 |          0 |          1 |          5 |
| /Users/bmixo/Desktop/dart/download/android/app/src/main/res/values/styles.xml                        | XML          |          5 |          0 |          1 |          6 |
| /Users/bmixo/Desktop/dart/download/android/build.gradle                                              | Groovy       |         25 |          0 |          5 |         30 |
| /Users/bmixo/Desktop/dart/download/android/gradle.properties                                         | Properties   |          1 |          0 |          1 |          2 |
| /Users/bmixo/Desktop/dart/download/android/gradle/wrapper/gradle-wrapper.properties                  | Properties   |          5 |          1 |          1 |          7 |
| /Users/bmixo/Desktop/dart/download/android/gradlew.bat                                               | Batch        |         66 |          0 |         25 |         91 |
| /Users/bmixo/Desktop/dart/download/android/settings.gradle                                           | Groovy       |         12 |          0 |          4 |         16 |
| /Users/bmixo/Desktop/dart/download/go/cmd/download.go                                                | Go           |        254 |          0 |         23 |        277 |
| /Users/bmixo/Desktop/dart/download/go/cmd/import-package_info-plugin.go                              | Go           |          8 |          2 |          4 |         14 |
| /Users/bmixo/Desktop/dart/download/go/cmd/import-path_provider-plugin.go                             | Go           |         11 |          2 |          4 |         17 |
| /Users/bmixo/Desktop/dart/download/go/cmd/import-shared_preferences-plugin.go                        | Go           |         11 |          2 |          4 |         17 |
| /Users/bmixo/Desktop/dart/download/go/cmd/import-url_launcher-plugin.go                              | Go           |          8 |          2 |          4 |         14 |
| /Users/bmixo/Desktop/dart/download/go/cmd/main.go                                                    | Go           |         42 |          2 |          6 |         50 |
| /Users/bmixo/Desktop/dart/download/go/cmd/options.go                                                 | Go           |          7 |          0 |          3 |         10 |
| /Users/bmixo/Desktop/dart/download/go/go.mod                                                         | XML          |         13 |          0 |          3 |         16 |
| /Users/bmixo/Desktop/dart/download/go/hover.yaml                                                     | YAML         |          4 |          2 |          1 |          7 |
| /Users/bmixo/Desktop/dart/download/index.html                                                        | HTML         |         10 |          0 |          0 |         10 |
| /Users/bmixo/Desktop/dart/download/ios/Flutter/flutter_export_environment.sh                         | Shell Script |          9 |          2 |          1 |         12 |
| /Users/bmixo/Desktop/dart/download/ios/Runner/AppDelegate.h                                          | C++          |          4 |          0 |          3 |          7 |
| /Users/bmixo/Desktop/dart/download/ios/Runner/AppDelegate.m                                          | Objective-C  |          8 |          1 |          4 |         13 |
| /Users/bmixo/Desktop/dart/download/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json       | JSON         |        122 |          0 |          0 |        122 |
| /Users/bmixo/Desktop/dart/download/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json     | JSON         |         23 |          0 |          1 |         24 |
| /Users/bmixo/Desktop/dart/download/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md         | Markdown     |          3 |          0 |          2 |          5 |
| /Users/bmixo/Desktop/dart/download/ios/Runner/Base.lproj/LaunchScreen.storyboard                     | XML          |         36 |          1 |          1 |         38 |
| /Users/bmixo/Desktop/dart/download/ios/Runner/Base.lproj/Main.storyboard                             | XML          |         25 |          1 |          1 |         27 |
| /Users/bmixo/Desktop/dart/download/ios/Runner/main.m                                                 | Objective-C  |          8 |          0 |          2 |         10 |
| /Users/bmixo/Desktop/dart/download/lib/flutter_candlesticks.dart                                     | Dart         |        236 |         24 |         44 |        304 |
| /Users/bmixo/Desktop/dart/download/lib/itemDownloadFinish.dart                                       | Dart         |         55 |          4 |          6 |         65 |
| /Users/bmixo/Desktop/dart/download/lib/itemDownloading.dart                                          | Dart         |         72 |          8 |          5 |         85 |
| /Users/bmixo/Desktop/dart/download/lib/itemTrash.dart                                                | Dart         |         19 |          0 |          4 |         23 |
| /Users/bmixo/Desktop/dart/download/lib/main.dart                                                     | Dart         |        333 |          1 |         39 |        373 |
| /Users/bmixo/Desktop/dart/download/lib/main_desktop.dart                                             | Dart         |          9 |          0 |          3 |         12 |
| /Users/bmixo/Desktop/dart/download/lib/portfolio/breakdown_item.dart                                 | Dart         |         77 |          0 |          6 |         83 |
| /Users/bmixo/Desktop/dart/download/lib/portfolio/portfolio_tabs.dart                                 | Dart         |        721 |          2 |         46 |        769 |
| /Users/bmixo/Desktop/dart/download/lib/portfolio/transaction_item.dart                               | Dart         |         96 |          0 |          7 |        103 |
| /Users/bmixo/Desktop/dart/download/lib/portfolio/transaction_sheet.dart                              | Dart         |        218 |         13 |         16 |        247 |
| /Users/bmixo/Desktop/dart/download/lib/settings_page.dart                                            | Dart         |        408 |          0 |         19 |        427 |
| /Users/bmixo/Desktop/dart/download/lib/sparkline.dart                                                | Dart         |        269 |         93 |         62 |        424 |
| /Users/bmixo/Desktop/dart/download/lib/tabs.dart                                                     | Dart         |        839 |         15 |         36 |        890 |
| /Users/bmixo/Desktop/dart/download/pubspec.yaml                                                      | YAML         |         23 |          0 |          4 |         27 |
| /Users/bmixo/Desktop/dart/download/trace.iml                                                         | XML          |         18 |          0 |          0 |         18 |
| /Users/bmixo/Desktop/dart/download/trace_android.iml                                                 | XML          |         27 |          0 |          0 |         27 |
| Total                                                                                                |              |      4,354 |        192 |        445 |      4,991 |
+------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
